root,course,reg_num,subj,crse,sect,title,units,instructor,days,time,start_time,end_time
root,course,10774,ENG,201,F02,Intro Narr: Telling Lives,1.0,Leveen,M-W-F,time,01:10PM,02:00
root,course,20508,ENG,201,S,Intro Narrative: The Essay,1.0,Duquette,M-W-F,time,01:10PM,02:00
root,course,10593,ANTH,392,F02,Structuralism and Semiotics,1.0,Stasch,T-Th,time,02:40PM,04:00
root,course,10504,ENG,205,F01,Intro Fict:Colonl and LaterNovels,1.0,Gillcrist,T-Th,time,10:30AM,11:50
root,course,10505,ENG,205,F02,Intro Fict:Portraits ofLadies,1.0,King,T-Th,time,10:30AM,11:50
root,course,20509,ENG,205,S,Intro Fict: The Short Story,1.0,Baker,M-W-F,time,01:10PM,02:00
root,course,10506,ENG,211,F01,Intro to Poetry and Poetics,1.0,Steinman,T-Th,time,01:10PM,02:30
root,course,10507,ENG,211,F02,Intro to Poetry and Poetics,1.0,Steinman,T-Th,time,02:40PM,04:00
root,course,20510,ENG,211,S,Intro to Poetry and Poetics,1.0,Stauder,T-Th,time,01:10PM,02:30
root,course,10758,ENG,242,F,Intro to Drama: The 1990s,1.0,Savery,M-W-F,time,10:00AM,10:50
root,course,20511,ENG,242,S01,Intro Drama:Conventn  and Inovatn,1.0,Porter,T-Th,time,10:30AM,11:50
root,course,20512,ENG,242,S02,Intro Drama:Conventn  and Inovatn,1.0,Porter,T-Th,time,02:40PM,04:00
root,course,10508,ENG,301,F,Jun Sem: Epic and Novel,1.0,Sherman,T-Th,time,10:30AM,11:50
root,course,20660,ANTH,434,S,Theories of Culture,1.0,Brightman,W,time,07:10PM,10:00
root,course,20513,ENG,302,S,Jun Sem:Irony, Allegory, Epic,1.0,Knapp,W,time,07:10PM,10:00
root,course,20647,ENG,303,S,Amer. Studies Seminar: TheEnd,1.0,Arnold,M-W,time,03:10PM,04:30
root,course,20514,ENG,333,S01,Fict:Wolff,Forster,Bloomsbury,1.0,Gillcrist,T-Th,time,10:30AM,11:50
root,course,20515,ENG,333,S02,Fict: Novel  and  Theory Mimesis,1.0,King,T,time,07:10PM,10:00
root,course,20516,ENG,338,S,Mod Fict:Representing Mothers,1.0,Sherman,T-Th,time,10:30AM,11:50
root,course,10509,ENG,341,F01,American Lit: Race in America,1.0,Baker,M,time,06:10PM,09:00
root,course,10510,ENG,341,F02,Amer Lit: The James Brothers,1.0,Duquette,M-W,time,03:10PM,04:30
root,course,20677,ENG,341,S,American Lit: Speaking ofRace,1.0,Leveen,Th,time,07:10PM,10:00
root,course,10511,ENG,356,F,20th Cent African-Amercan Lit,1.0,Savery,M-W-F,time,11:00AM,11:50
root,course,10512,ENG,363,F,Love in Shakespeare,1.0,Porter,T-Th,time,02:40PM,04:00
root,course,10458,ART,161,F01,Introductory Drawing,0.5,Knutson,M-W,time,01:10PM,04:00
root,course,20517,ENG,363,S,Skepticism in Shakespeare,1.0,Knapp,M-W-F,time,02:10PM,03:00
root,course,10752,ENG,366,F,Poetry: Pound and H.D.,1.0,Stauder,T-Th,time,01:10PM,02:30
root,course,20518,ENG,384,S,Poetry  and  History:Contemp Amer,1.0,Steinman,T-Th,time,02:40PM,04:00
root,course,10514,ENG,393,F,Literary Theory:EthicsReading,1.0,Knapp,M-W-F,time,02:10PM,03:00
root,course,10139,FREN,210,Y01,Second Year French,1.0,Delehanty,M-W-F,time,10:00AM,10:50
root,course,10140,FREN,210,Y02,Second Year French,1.0,Berkvam,M-W-F,time,11:00AM,11:50
root,course,10141,FREN,210,Y03,Second Year French,1.0,Berkvam,M-W-F,time,12:00PM,12:50
root,course,10459,ART,161,F02,Introductory Drawing,0.5,Ondrizek,T-Th,time,09:00AM,11:50
root,course,10142,FREN,320,Y,Stylistics and Composition,1.0,Khan,M-W-F,time,11:00AM,11:50
root,course,10495,FREN,332,F,Lit  and  Society (16th Century),1.0,Berkvam,T-Th,time,01:10PM,02:30
root,course,20493,FREN,334,S,Lit  and  Society (18th Century),1.0,Berkvam,T-Th,time,01:10PM,02:30
root,course,20494,FREN,341,S,Early Modern French Narrative,1.0,Khan,M-W,time,03:10PM,04:30
root,course,20495,FREN,351,S,17th Cent French Drama,1.0,Delehanty,T-Th,time,02:40PM,04:00
root,course,20496,FREN,381,S,20th C French Poetry  and Poetics,1.0,Hochman,M-W-F,time,02:10PM,03:00
root,course,10496,FREN,382,F,20th Century French Theatre,1.0,Khan,T-Th,time,02:40PM,04:00
root,course,10497,FREN,451,F,Seminar:Uses of Literature,1.0,Hochman,M-W,time,03:10PM,04:30
root,course,20465,ART,162,S,Figure Drawing,0.5,Ondrizek,T-Th,time,09:00AM,11:50
root,course,10145,GER,220,Y,Secnd Yr Ger:CultralPerspctvs,1.0,Gokberk,M-W-F,time,01:10PM,02:00
root,course,10498,GER,311,F,Adv Conversation and Writing,1.0,Mieszkowski,T-Th,time,01:10PM,02:30
root,course,20499,GER,312,S,Advancd Conversation and Writing,1.0,Irmscher,T-Th,time,02:40PM,04:00
root,course,20497,GER,321,S,Modernism: Berlin,1.0,Gokberk,M-W,time,03:10PM,04:30
root,course,20502,GER,335,S,Contemporary German Prose,1.0,Gokberk,Th,time,06:40PM,09:30
root,course,10501,GER,341,F,Modern German Theatre,1.0,Rudolf,M-W,time,03:10PM,04:30
root,course,10499,GER,391,F,German Thought Postmodrn Era,1.0,Irmscher,T-Th,time,02:40PM,04:00
root,course,20500,GER,392,S,German Theory II: Body Media,1.0,Mieszkowski,W,time,06:10PM,09:00
root,course,10147,GRK,210,Y,Second Year Greek,1.0,Wolfe,M-T-W-Th,time,01:10PM,02:00
root,course,20466,ART,164,S,Printmaking,0.5,Knutson,M-W,time,01:10PM,04:00
root,course,10487,GRK,311,F,Advanced Greek,1.0,Tron,T-Th,time,04:10PM,05:30
root,course,20485,GRK,312,S,Advanced Greek,1.0,Nicholson,T-Th,time,09:00AM,10:20
root,course,20628,HIST,220,S,Late Imperial China,1.0,Fix,M-W-F,time,01:10PM,02:00
root,course,10643,HIST,221,F,Modern China,1.0,Fix,M-W-F,time,10:00AM,10:50
root,course,10644,HIST,275,F,Cultr  and  Society 19 CentAmerca,1.0,Dirks,M-W,time,03:10PM,04:30
root,course,20629,HIST,276,S,Culture and Society 20 Cent Amer,1.0,Dirks,M-W,time,03:10PM,04:30
root,course,10784,HIST,281,F,Introduction to Judaism,1.0,McCalla,M-W-F,time,11:00AM,11:50
